lähdeaineistotunnus%käsite%määritelmä%selite%lähteet%luokka%lisätiedot%tieteellinen nimi
13%agamolaji%" [laji|laji], joka käsittää ainoastaan suvuttomasti lisääntyviä yksilöitä"%Termi "agamosperminen laji" on termin agamolaji lähisynonyymi, ja sillä viitataan kasvilajeihin, jotka lisääntyvät tuottamalla siemeniä suvuttomasti.%BS2001, FN2004%Kasviekologia, kasvityyppi%%
50%ainavihanta% [kasvi|kasvi], jonka lehdet elävät vähintään yhden vuoden ja säilyvät vihreinä vuodenajasta riippumatta%Ainavihantien kasvien lehdet ovat yleensä paksuja ja nahkeita.%RK1998, Piirainen, Väre, FN2004, Lönnrot, SLT2006, OKT2005%Kasviekologia, kasvityyppi%%
85%kaksivuotinen% [kasvi|kasvi], jonka elämänkierto kestää kaksi kasvukautta%Kaksivuotiset ovat kukkakasveja, jotka ensimmäisenä kasvukautena itämisen jälkeen kasvattavat kasvuverson, joka talvehtii usein ruusukeasteisena, ja kukkivat ja siementävät seuraavana kesänä. Kaksivuotisia ovat esimerkiksi porkkana, koiranputki (Anthriscus sylvestris) ja takiaiset (Arctium spp.).%Kalela1971, Piirainen, Väre, FN2004, RK1998, SLT2006, BS2001, SPK2005, OKT2005%Kasviekologia, kasvityyppi%%
144%ilmitalvehtija% [kasvi|kasvi], jonka talvehtivat silmut ovat vähintään 25 cm maanpinnan yläpuolella%Esimerkkejä ilmitalvehtijoista ovat puut.%Väre, FN2004, SLT2006, BS2001%Kasviekologia, kasvityyppi%%
484%kosmopoliitti% [laji|laji], jonka levinneisyysalue käsittää likimain koko maapallon%%Väre, BS2001%Kasviekologia, kasvityyppi%%
488%kotoperäinen% [laji|laji], joka on tarkastellulla alueella  [alkuperäinen|alkuperäinen] ja jota esiintyy vain siellä%Kotoperäinen laji tai muu taksoni (esim. muunnos, alalaji tai suku) on voinut syntyä nykyisellä esiintymäalueellaan (neoendemismi) tai se voi esiintyä siellä jäänteenä aikaisemmasta, laajemmasta levinneisyysalueesta (paleoendemismi), eikä sitä tavata alkuperäisenä missään muualla. Kotoperäisyys eli endemismi on erityisen tyypillistä alueille, jotka ovat pitkään olleet maantieteellisesti eristyneinä (esim. valtamerten saaret tai eristyneet vuoristot). Pohjoismaissa endemismi on harvinaista, sillä koko lajisto on saapunut tänne muualta vasta viimeisen jäätiköitymisvaiheen jälkeen, eikä uusien taksonien kehittymiselle ole yleensä ollut riittävästi aikaa. Endemismiä ei pidä sekoittaa alkuperäisyyteen.%Väre, FN2004, SLT2006, BS2001, SPK2005%Kasviekologia, kasvityyppi%%
499%kuivakkokasvi% [kasvi|kasvi], joka suosii kuivaa elinympäristöä%Kuivakkokasvit ovat sopeutuneet tulemaan toimeen kuivassa ympäristössä. Kuivakkokasvien rakenteessa on ns. kseromorfsia piirteitä, joiden tavoitteena on toisaalta haihdutuksen estäminen (esim. lehtien karvapeite sekä pieni pinta-alan ja tilavuuden suhde tai lehtien surkastuminen piikeiksi), toisaalta veden varastointi vesisolukkoon silloin, kun vettä on saatavissa. Kuivakkokasveja ovat esimerkiksi kaktukset ja maksaruohot.%Väre, BS2001, FN2004, SLT2006%Kasviekologia, kasvityyppi%%
523%kulttuuritulokas% [tulokas|tulokas], jota esiintyy voimakkaan ihmisvaikutuksen kohteena olevalla alueella%Kulttuuritulokkaita voi esiintyä esimerkiksi asutukseen, maanviljelyyn tai karjanhoiton liittyvillä alueilla.%Piirainen, FN2004, SLT2006, BS2001%Kasviekologia, kasvityyppi%%
551%laaritalvehtija% [kasvi|kasvi], jonka leviäimet talvehtivat varastoidun viljan joukossa%Laaritalvehtijat ovat rikkakasveja.%Piirainen%Kasviekologia, kasvityyppi%%
641%luonnonvarainen% [laji|laji], joka on saapunut esiintymisalueelleen ilman ihmisen vaikutusta ja kasvaa siellä ilman ihmisen hoitoa%Myös alunperin viljellyt kasvit voivat siirtyä kasvamaan ympäröiville alueille luonnonvaraisina spontaanin leviämisen kautta.%SLT2006, Piirainen, Väre, FN2004%Kasviekologia, kasvityyppi%%
682%matalatalvehtija% [kasvi|kasvi], jonka talvehtivat silmut ovat maan rajaa korkeammalla mutta alle 25 cm:n korkeudella%Matalatalvehtijoiden silmut ovat talvehtiessaan tavallisesti lumen suojaamina. Matalatalvehtijoita ovat esimerkiksi monet varvut.%FN2004, Väre, SLT2006, BS2001%Kasviekologia, kasvityyppi%%
699%monivuotinen% [kasvi|kasvi], jonka elämänkierto kestää enemmän kuin kaksi kasvukautta%Monivuotiset kasvit jatkavat kasvuaan ja usein myös kukkivat useampana kuin kahtena kasvukautena. jos monivuotinen kasvi kukkii vain vain kerran ja kuolee sen jälkeen, se on  [kerran_kukkiva|kerran kukkiva] monivuotinen kasvi. Jos se kukkii toistuvasti eri vuosina, se on  [perenna|perenna] eli pollakantti, varsinainen monivuotinen kasvi. Monivuotiset ovat usein joko ruohovartisia (ks. perenna) tai puuvartisia (puita, pensaita tai varpuja) lajeja.%Kalela1971, RK1998, Piirainen, FN2004, Väre, SLT2006, SPK2005, BS2001%Kasviekologia, kasvityyppi%%
704%muinaistulokas% [tulokas|tulokas], joka on saapunut alueelle niin kauan sitten, ettei sen saapumisesta ole kirjallista tietoa%Pohjoismaissa muinaistulokkaina pidetään yleisen säännön mukaan 1600-luvun alkupuolella tai sitä ennen saapuneita kasveja.%Piirainen, FN2004, SLT2006, BS2001%Kasviekologia, kasvityyppi%%
820%painolastitulokas% [tulokas|tulokas], joka on saapunut alueelle purjelaivakaudella purjelaivan painolastimaan mukana%%Piirainen%Kasviekologia, kasvityyppi%%
857%perenna% [monivuotinen|monivuotinen] ruohokasvi, joka kukkii toistuvasti%Termiä perenna käytetään tavallisesti koristekasveista puhuttaessa, mutta periaatteessa sillä voidaan tarkoittaa kaikkia monivuotisia ruohokasveja.%Väre, SLT2006, BS2001%Kasviekologia, kasvityyppi%%
875%piilotalvehtija% [kasvi|kasvi], jonka talvehtivat osat ovat kokonaan maan sisällä%Talvehtivia osia voivat olla esimerkiksi silmut, juurakot, sipulit ja mukulat. %Väre, FN2004, BS2001%Kasviekologia, kasvityyppi%%
884%pioneerikasvillisuus% [kasvillisuus|kasvillisuus], joka ensimmäisenä valloittaa vasta paljastuneen maa-alueen%Maa-alueita voi paljastua esimerkiksi merestä maankohoamisen yhteydessä sekä tulipalon yhteydessä. Kasvipeitteen ikääntyessä ja vakiintuessa pioneerikasvillisuus joutuu väistymään.%Piirainen%Kasviekologia, kasvityyppi%%
885%pioneerilaji% [laji|laji], joka ensimmäisenä valloittaa vasta paljastuneen maa-alueen%Pioneerilajeihin kuuluu  [kasvi|kasveja], mikro-organismeja ja pieneliöitä. Pioneerilajit aloittavat primaarisukkession.%Väre, SLT2006, BS2001%Kasviekologia, kasvityyppi%%
932%puolipiilijä% [kasvi|kasvi], jonka talvehtivat silmut ovat aivan maan rajassa%Puolipiilijöiden talvehtivat silmut säilyvät maan rajassa lumen ja karikkeen suojaamina.%FN2004, SLT2006, Väre, BS2001%Kasviekologia, kasvityyppi%%
